name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Lagos,2014-01-01,32,23,27.9,37.9,23,31.1,23.2,76,0.5,100,20.83,rain,,,33.5,29.5,197,1011.2,40.7,8.7,198.3,17.2,7,,2014-01-01T06:57:21,2014-01-01T18:42:39,0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"65210099999,DNMM,remote,65201099999"
Lagos,2014-01-02,30.5,23.8,26.1,36.2,23.8,27.4,22.1,79.3,12,100,4.17,rain,,,9.4,16.6,215.7,1010.7,43.1,6.6,221.5,19.1,8,,2014-01-02T06:57:47,2014-01-02T18:43:09,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65210099999,65213099999,DNMM,65201099999"
Lagos,2014-01-03,32.8,24,27.2,41.9,24,30,24.6,86.9,0,0,0,,,,25.9,18.4,297.5,1010.8,32.9,6.6,191,16.6,7,,2014-01-03T06:58:11,2014-01-03T18:43:40,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
Lagos,2014-01-04,32.5,23,26.7,38.3,23,28.6,23.1,81.9,0.1,100,4.17,rain,,,20.5,16.6,258.8,1011.4,51.2,6.8,198.2,17.4,7,,2014-01-04T06:58:36,2014-01-04T18:44:11,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65210099999,DNMM,remote,65201099999"
Lagos,2014-01-05,31,22,26.1,37.7,22,27.9,22.1,79.1,0,0,0,,,,16.6,13,232.7,1011.4,47.5,7,216.1,18.7,8,,2014-01-05T06:58:59,2014-01-05T18:44:41,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
Lagos,2014-01-06,31.7,23,26.5,39,23,28.5,23.6,84.9,0.3,100,8.33,rain,,,22.3,18.4,259.9,1010.5,31.7,6.1,197.8,17.1,7,,2014-01-06T06:59:22,2014-01-06T18:45:11,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DNMM,remote,65201099999"
Lagos,2014-01-07,31.8,24,26.5,39.6,24,28.6,22.7,79.9,1,100,33.33,rain,,,25.9,22.3,235.4,1011.3,32,5.5,214.6,18.7,8,,2014-01-07T06:59:45,2014-01-07T18:45:41,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65210099999,DNMM,remote,65201099999"
Lagos,2014-01-08,27.7,26.5,27,30.7,26.5,29.2,24,83.5,3.6,100,66.67,rain,,,,15.8,187.6,,1.2,,219.7,19,8,,2014-01-08T07:00:06,2014-01-08T18:46:10,0.25,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,rain,remote
Lagos,2014-01-09,31,26,27.4,37.7,26,29.8,24,82.2,2.4,100,54.17,rain,,,18.4,16.2,199.5,1010.4,20.9,7.7,232.6,20.2,9,,2014-01-09T07:00:27,2014-01-09T18:46:40,0.27,"Rain, Partially cloudy",Becoming cloudy in the afternoon with a chance of rain throughout the day.,rain,"65210099999,DNMM,remote,65201099999"
Lagos,2014-01-10,28.1,26.8,27.3,31.4,29.7,30.4,24.1,83,7.2,100,91.67,rain,,,,14,206.6,,83,,198.2,17.2,7,,2014-01-10T07:00:47,2014-01-10T18:47:09,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Lagos,2014-01-11,27.9,26.8,27.2,31.6,29.8,30.6,24.4,84.7,0.1,100,4.17,rain,,,,14.4,194.3,,93.2,,195.3,16.9,7,,2014-01-11T07:01:06,2014-01-11T18:47:37,0.34,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,remote
Lagos,2014-01-12,27.9,26.7,27.2,30.8,26.7,30.1,24,82.8,0,0,0,,,,,12.6,199.5,,67.9,,214,18.6,8,,2014-01-12T07:01:25,2014-01-12T18:48:06,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Lagos,2014-01-13,28.3,26,27.2,31.8,26,30.2,24,83,0,0,0,,,,,14.8,213.2,1013.3,78.4,6.7,204.1,17.6,7,,2014-01-13T07:01:43,2014-01-13T18:48:33,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999"
Lagos,2014-01-14,28,23,26.4,31.8,23,28.5,24,87.1,0,0,0,,,,9.4,16.2,231.3,1012.8,57.7,4.1,173.7,15,6,,2014-01-14T07:02:00,2014-01-14T18:49:01,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999"
Lagos,2014-01-15,27.8,27.1,27.4,31.6,30.5,31.1,24.5,84.2,0,0,0,,,,,16.9,208.7,,48.1,,179.4,15.6,6,,2014-01-15T07:02:16,2014-01-15T18:49:28,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Lagos,2014-01-16,32.9,27,27.8,39.9,30.4,31.8,24.8,84.4,0.3,100,12.5,rain,,,20.5,16.9,207.2,1010.8,51.2,8.1,189.5,16.2,6,,2014-01-16T07:02:31,2014-01-16T18:49:54,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65210099999,remote,65201099999"
